City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Khatanga,RU,2020-02-23 09:52:15,71.97,102.5,15.3,85,100,13.31,overcast clouds,5.0,0.13
1,Sao Filipe,CV,2020-02-23 09:52:15,14.9,-24.5,68.47,80,100,17.36,overcast clouds,5.0,0.13
2,Albany,US,2020-02-23 09:52:15,42.6,-73.97,28.0,73,1,4.47,clear sky,5.0,0.13
3,Bahir Dar,ET,2020-02-23 09:52:15,11.59,37.39,84.18,19,0,8.25,clear sky,5.0,0.13
4,Butaritari,KI,2020-02-23 09:52:16,3.07,172.79,84.76,77,76,14.7,light rain,2.88,0.13
5,Milkovo,RU,2020-02-23 09:52:16,54.72,158.62,-3.01,84,3,2.93,clear sky,2.88,0.13
6,Ambanja,MG,2020-02-23 09:52:16,-13.68,48.45,89.6,70,75,2.24,broken clouds,2.88,0.13
7,Matara,LK,2020-02-23 09:47:47,5.95,80.54,88.52,59,69,9.66,light rain,0.19,0.13
8,Provideniya,RU,2020-02-23 09:52:16,64.38,-173.3,-9.81,100,53,2.95,broken clouds,0.19,0.13
9,Hilo,US,2020-02-23 09:52:17,19.73,-155.09,68.0,77,75,3.36,broken clouds,0.19,0.13
10,Vaini,TO,2020-02-23 09:52:17,-21.2,-175.2,78.8,94,75,10.29,broken clouds,0.19,0.13
11,Superior,US,2020-02-23 09:52:17,46.72,-92.1,30.2,92,90,6.93,mist,0.19,0.13
12,Busselton,AU,2020-02-23 09:52:17,-33.65,115.33,82.99,28,100,3.27,light rain,2.63,0.13
13,Ushuaia,AR,2020-02-23 09:50:57,-54.8,-68.3,48.2,70,75,14.99,light intensity drizzle,2.63,0.13
14,Hithadhoo,MV,2020-02-23 09:52:18,-0.6,73.08,82.92,78,85,15.14,overcast clouds,2.63,0.13
15,Harper,LR,2020-02-23 09:52:18,4.38,-7.72,83.37,85,72,2.64,broken clouds,2.63,0.13
16,Haines Junction,CA,2020-02-23 09:52:18,60.75,-137.51,5.76,90,70,4.97,broken clouds,2.63,0.13
