City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2020-02-21 05:38:56,-42.88,147.33,63.0,39,40,14.99
1,Olafsvik,IS,2020-02-21 05:38:57,64.89,-23.71,33.76,80,100,38.05
2,Mangrol,IN,2020-02-21 05:38:57,21.12,70.12,75.61,53,75,5.79
3,Antofagasta,CL,2020-02-21 05:38:57,-23.65,-70.4,66.2,88,21,1.12
4,Airai,TL,2020-02-21 05:32:42,-8.93,125.41,74.8,87,100,2.89
5,Camopi,GF,2020-02-21 05:38:58,3.17,-52.32,69.06,99,100,2.53
6,Rikitea,PF,2020-02-21 05:34:36,-23.12,-134.97,78.49,75,42,13.85
7,Ribeira Grande,PT,2020-02-21 05:32:42,38.52,-28.7,52.12,77,56,9.48
8,Grindavik,IS,2020-02-21 05:32:42,63.84,-22.43,33.8,57,100,12.75
9,Ashdod,IL,2020-02-21 05:38:09,31.82,34.65,55.0,76,22,4.7
10,Vanimo,PG,2020-02-21 05:34:13,-2.67,141.3,82.31,81,96,16.04
11,Meulaboh,ID,2020-02-21 05:38:59,4.14,96.13,82.65,63,0,3.44
12,Sarakhs,IR,2020-02-21 05:38:59,36.54,61.16,46.4,87,90,18.34
13,Punta Arenas,CL,2020-02-21 05:38:59,-53.15,-70.92,53.6,76,75,24.16
14,Bilibino,RU,2020-02-21 05:38:59,68.05,166.44,-22.7,98,100,1.43
15,Saint-Philippe,RE,2020-02-21 05:39:00,-21.36,55.77,82.4,58,40,14.99
16,Doha,QA,2020-02-21 05:35:52,25.29,51.53,72.0,68,12,9.17
17,Dikson,RU,2020-02-21 05:39:00,73.51,80.55,-5.53,88,6,19.42
18,Cape Town,ZA,2020-02-21 05:39:00,-33.93,18.42,68.0,88,20,11.41
19,Yellowknife,CA,2020-02-21 05:39:00,62.46,-114.35,23.0,73,5,5.82
20,Torbay,CA,2020-02-21 05:34:13,47.67,-52.73,12.0,60,40,33.33
21,South Lake Tahoe,US,2020-02-21 05:39:01,38.93,-119.98,44.01,63,20,3.36
22,Ulladulla,AU,2020-02-21 05:39:01,-35.35,150.47,68.0,68,90,13.87
23,Mozarlandia,BR,2020-02-21 05:39:01,-14.74,-50.57,71.91,95,100,5.68
24,Jamestown,US,2020-02-21 05:38:35,42.1,-79.24,21.2,66,90,10.29
25,Hovd,MN,2020-02-21 05:39:02,48.01,91.64,11.01,57,0,4.72
26,Linqiong,CN,2020-02-21 05:39:02,30.42,103.46,61.0,44,20,2.24
27,Honningsvag,NO,2020-02-21 05:39:02,70.98,25.97,26.6,100,90,24.16
28,Carnarvon,AU,2020-02-21 05:39:03,-24.87,113.63,87.8,62,75,20.8
29,Albany,US,2020-02-21 05:34:29,42.6,-73.97,21.2,48,75,8.05
30,Hermanus,ZA,2020-02-21 05:37:53,-34.42,19.23,64.99,88,0,1.01
31,Kaitangata,NZ,2020-02-21 05:39:03,-46.28,169.85,64.0,58,56,15.01
32,Yinchuan,CN,2020-02-21 05:34:19,38.47,106.27,36.0,27,6,5.99
33,Constitucion,CL,2020-02-21 05:39:04,-35.33,-72.42,53.94,74,0,6.2
34,Avera,US,2020-02-21 05:39:04,33.19,-82.53,41.0,80,90,9.17
35,Mogadishu,SO,2020-02-21 05:39:04,2.04,45.34,82.4,69,40,11.41
36,Bhadrachalam,IN,2020-02-21 05:39:04,17.67,80.88,87.46,38,0,8.01
37,Praia Da Vitoria,PT,2020-02-21 05:39:05,38.73,-27.07,50.0,76,20,7.2
38,Puerto Ayacucho,VE,2020-02-21 05:39:05,5.66,-67.62,74.46,88,68,2.46
39,Qaanaaq,GL,2020-02-21 05:39:05,77.48,-69.36,-14.93,53,0,5.01
40,Busselton,AU,2020-02-21 05:39:05,-33.65,115.33,96.01,11,97,14.07
41,Chokurdakh,RU,2020-02-21 05:39:06,70.63,147.92,-14.21,97,87,1.52
42,Hofn,IS,2020-02-21 05:39:06,64.25,-15.21,37.56,77,83,32.79
43,Holstebro,DK,2020-02-21 05:39:06,56.36,8.62,43.0,93,27,11.41
44,Nadym,RU,2020-02-21 05:39:06,65.53,72.52,20.77,93,100,15.12
45,Norman Wells,CA,2020-02-21 05:39:07,65.28,-126.83,23.0,85,75,6.93
46,Trairi,BR,2020-02-21 05:39:07,-3.28,-39.27,74.75,91,100,2.91
47,Banikoara,BJ,2020-02-21 05:39:07,11.3,2.44,68.52,19,3,6.46
48,Puerto Ayora,EC,2020-02-21 05:39:07,-0.74,-90.35,77.74,88,77,8.5
49,Luanda,AO,2020-02-21 05:39:08,-8.84,13.23,78.8,94,75,4.7
50,Vaini,TO,2020-02-21 05:39:08,-21.2,-175.2,80.6,78,20,9.17
51,Kirakira,SB,2020-02-21 05:39:08,-10.45,161.92,81.28,81,40,5.14
52,Atuona,PF,2020-02-21 05:39:08,-9.8,-139.03,81.55,78,82,17.29
53,Ahuimanu,US,2020-02-21 05:39:08,21.44,-157.84,73.4,64,75,11.41
54,Saint-Louis,SN,2020-02-21 05:39:09,16.33,-15.0,74.25,15,74,8.75
55,Barrow,US,2020-02-21 05:39:09,71.29,-156.79,-14.8,75,90,10.29
56,Kapaa,US,2020-02-21 05:34:32,22.08,-159.32,73.4,100,90,13.87
57,Nikolskoye,RU,2020-02-21 05:39:10,59.7,30.79,34.0,85,75,6.71
58,Lebu,CL,2020-02-21 05:39:10,-37.62,-73.65,59.83,35,0,2.91
59,Bulgan,MN,2020-02-21 05:34:14,48.81,103.53,14.83,63,0,4.88
60,Nantucket,US,2020-02-21 05:39:10,41.28,-70.1,28.99,50,1,11.41
61,Luganville,VU,2020-02-21 05:39:10,-15.53,167.17,86.0,70,40,4.7
62,Ushuaia,AR,2020-02-21 05:39:11,-54.8,-68.3,53.6,66,75,12.75
63,Wanning,CN,2020-02-21 05:39:11,18.8,110.4,74.95,71,52,11.83
64,Bealanana,MG,2020-02-21 05:39:11,-14.55,48.73,73.78,76,95,2.37
65,Yerbogachen,RU,2020-02-21 05:39:11,61.28,108.01,22.59,93,100,12.68
66,Georgetown,MY,2020-02-21 05:39:12,5.41,100.34,93.2,44,20,21.92
67,Adrar,MR,2020-02-21 05:39:12,20.5,-10.07,67.01,13,0,11.92
68,Kirando,TZ,2020-02-21 05:39:13,-7.42,30.6,77.11,74,59,7.36
69,Cabo San Lucas,MX,2020-02-21 05:35:17,22.89,-109.91,70.0,60,5,8.05
70,Vestmannaeyjar,IS,2020-02-21 05:39:13,63.44,-20.27,32.02,97,100,14.52
71,New Norfolk,AU,2020-02-21 05:39:13,-42.78,147.06,63.0,39,40,14.99
72,Gillette,US,2020-02-21 05:39:13,44.29,-105.5,24.8,49,1,28.86
73,Bemidji,US,2020-02-21 05:39:14,47.47,-94.88,12.2,78,1,8.05
74,Kutum,SD,2020-02-21 05:39:14,14.2,24.67,59.97,26,42,4.9
75,Saryg-Sep,RU,2020-02-21 05:39:14,51.5,95.6,15.13,79,98,1.05
76,Saint George,US,2020-02-21 05:39:14,37.1,-113.58,48.2,23,1,4.81
77,Namibe,AO,2020-02-21 05:39:14,-15.2,12.15,76.69,70,83,11.36
78,Kisanga,TZ,2020-02-21 05:39:15,-7.44,37.7,80.67,82,53,1.9
79,Tuktoyaktuk,CA,2020-02-21 05:39:15,69.45,-133.04,1.4,77,90,4.7
80,Havelock,US,2020-02-21 05:39:15,34.88,-76.9,36.0,86,90,16.11
81,Tasiilaq,GL,2020-02-21 05:39:15,65.61,-37.64,19.4,73,100,1.12
82,Fairbanks,US,2020-02-21 05:39:15,64.84,-147.72,17.6,100,75,4.07
83,Butaritari,KI,2020-02-21 05:39:15,3.07,172.79,83.97,78,77,13.67
84,Balkanabat,TM,2020-02-21 05:39:16,39.51,54.37,41.2,88,100,8.57
85,Puerto Quijarro,BO,2020-02-21 05:39:16,-17.78,-57.77,74.21,99,100,5.46
86,Kavieng,PG,2020-02-21 05:38:39,-2.57,150.8,83.86,76,0,13.29
87,Severo-Kurilsk,RU,2020-02-21 05:39:17,50.68,156.12,17.06,93,100,5.46
88,Kruisfontein,ZA,2020-02-21 05:39:17,-34.0,24.73,68.09,76,3,4.34
89,Bluff,NZ,2020-02-21 05:39:17,-46.6,168.33,59.0,76,60,21.99
90,Lorengau,PG,2020-02-21 05:39:18,-2.02,147.27,83.26,76,75,13.11
91,Batagay-Alyta,RU,2020-02-21 05:39:18,67.8,130.41,1.22,87,100,4.65
92,Hilo,US,2020-02-21 05:39:18,19.73,-155.09,69.8,77,90,9.17
93,Luderitz,NA,2020-02-21 05:39:18,-26.65,15.16,66.2,82,32,11.41
94,Karachi,PK,2020-02-21 05:36:03,24.91,67.08,71.6,33,57,21.92
95,Pisco,PE,2020-02-21 05:39:19,-13.7,-76.22,73.4,83,100,5.82
96,Comodoro Rivadavia,AR,2020-02-21 05:35:24,-45.87,-67.5,48.2,76,0,11.81
97,Mancio Lima,BR,2020-02-21 05:39:19,-7.61,-72.9,73.83,86,89,2.59
98,Blagoyevo,RU,2020-02-21 05:39:19,63.37,47.92,6.44,92,53,2.51
99,Nioro,GM,2020-02-21 05:39:19,13.35,-15.75,71.37,17,63,5.17
100,Forio,IT,2020-02-21 05:39:20,40.73,13.86,48.99,80,0,5.82
101,Faanui,PF,2020-02-21 05:39:20,-16.48,-151.75,82.78,77,88,16.96
102,Tual,ID,2020-02-21 05:34:44,-5.67,132.75,80.76,82,100,18.34
103,Port Hardy,CA,2020-02-21 05:39:20,50.7,-127.42,35.6,93,40,2.24
104,Komsomolskiy,UZ,2020-02-21 05:39:20,40.43,71.72,42.8,56,0,4.12
105,Khatanga,RU,2020-02-21 05:39:21,71.97,102.5,6.55,95,100,10.54
106,Hailey,US,2020-02-21 05:39:21,43.52,-114.32,15.8,61,5,10.29
